,basecode,basename,s_code,s_name,m_code,m_name,b_code,b_name
274,274,수력,101,전력 및 신재생에너지,46,전력 및 신재생에너지,16,"전력, 가스 및 증기"
275,275,화력,101,전력 및 신재생에너지,46,전력 및 신재생에너지,16,"전력, 가스 및 증기"
276,276,원자력,101,전력 및 신재생에너지,46,전력 및 신재생에너지,16,"전력, 가스 및 증기"
277,277,자가발전,101,전력 및 신재생에너지,46,전력 및 신재생에너지,16,"전력, 가스 및 증기"
278,278,신재생에너지,101,전력 및 신재생에너지,46,전력 및 신재생에너지,16,"전력, 가스 및 증기"
279,279,도시가스,102,도시가스,47,"가스, 증기 및 온수",16,"전력, 가스 및 증기"
280,280,증기 및 온수,103,증기 및 온수,47,"가스, 증기 및 온수",16,"전력, 가스 및 증기"
281,281,수도,104,수도,48,수도,17,"수도, 폐기물 및 "
282,282,하수 폐수 및 분뇨처리(국공립),105,폐수처리,49,폐수처리,17,"수도, 폐기물 및 "
283,283,하수 폐수 및 분뇨처리(산업),105,폐수처리,49,폐수처리,17,"수도, 폐기물 및 "
284,284,폐기물 수집 운반 및 처리(국공립),106,폐기물처리,50,폐기물 및 ,17,"수도, 폐기물 및 "
285,285,폐기물 수집 운반 및 처리(산업),106,폐기물처리,50,폐기물 및 ,17,"수도, 폐기물 및 "
286,286,자원재활용서비스,107,자원재활용서비스,50,폐기물 및 ,17,"수도, 폐기물 및 "
287,287,주거용 건물,108,주거용 건물,51,건물건설 및 건축보수,18,건설
288,288,비주거용 건물,109,비주거용 건물,51,건물건설 및 건축보수,18,건설
289,289,건축보수,110,건축보수,51,건물건설 및 건축보수,18,건설
290,290,도로시설,111,교통시설 건설,52,토목건설,18,건설
291,291,철도시설,111,교통시설 건설,52,토목건설,18,건설
292,292,항만시설,111,교통시설 건설,52,토목건설,18,건설
293,293,하천사방,112,일반토목시설 건설,52,토목건설,18,건설
294,294,상하수도시설,112,일반토목시설 건설,52,토목건설,18,건설
295,295,농림수산토목,112,일반토목시설 건설,52,토목건설,18,건설
296,296,도시토목,112,일반토목시설 건설,52,토목건설,18,건설
297,297,환경정화시설,113,산업시설 건설,52,토목건설,18,건설
298,298,통신시설,113,산업시설 건설,52,토목건설,18,건설
299,299,전력시설,113,산업시설 건설,52,토목건설,18,건설
300,300,산업플랜트,113,산업시설 건설,52,토목건설,18,건설
301,301,기타 건설,114,기타 건설,52,토목건설,18,건설
302,302,도매서비스,115,도소매서비스,53,도소매서비스,19,도소매서비스
303,303,소매서비스,115,도소매서비스,53,도소매서비스,19,도소매서비스
304,304,철도여객 운송서비스,116,철도운송서비스,54,육상운송서비스,20,운송서비스
305,305,철도화물 운송서비스,116,철도운송서비스,54,육상운송서비스,20,운송서비스
306,306,도로여객 운송서비스,117,도로운송서비스,54,육상운송서비스,20,운송서비스
307,307,도로화물 운송서비스,117,도로운송서비스,54,육상운송서비스,20,운송서비스
308,308,소화물 전문 운송서비스,118,소화물 전문 운송서비스,54,육상운송서비스,20,운송서비스
309,309,연안 및 내륙수상 운송서비스,119,수상운송서비스,55,수상운송서비스,20,운송서비스
310,310,외항운송서비스,119,수상운송서비스,55,수상운송서비스,20,운송서비스
311,311,항공운송서비스,120,항공운송서비스,56,항공운송서비스,20,운송서비스
312,312,육상운송보조서비스,121,운송보조서비스,57,창고 및 운송보조서비스,20,운송서비스
313,313,수상운송보조서비스,121,운송보조서비스,57,창고 및 운송보조서비스,20,운송서비스
314,314,항공운송보조서비스,121,운송보조서비스,57,창고 및 운송보조서비스,20,운송서비스
315,315,하역서비스,122,하역서비스,57,창고 및 운송보조서비스,20,운송서비스
316,316,보관 및 창고서비스,123,보관 및 창고서비스,57,창고 및 운송보조서비스,20,운송서비스
317,317,기타 운송관련서비스,124,기타 운송관련서비스,57,창고 및 운송보조서비스,20,운송서비스
318,318,일반음식점,125,음식점 및 주점,58,음식점 및 숙박서비스,21,음식점 및 숙박서비스
319,319,주점,125,음식점 및 주점,58,음식점 및 숙박서비스,21,음식점 및 숙박서비스
320,320,기타음식점,125,음식점 및 주점,58,음식점 및 숙박서비스,21,음식점 및 숙박서비스
321,321,숙박,126,숙박서비스,58,음식점 및 숙박서비스,21,음식점 및 숙박서비스
322,322,우편서비스,127,우편 서비스,59,통신서비스,22,정보통신 및 방송 
323,323,유선통신서비스,128,"유, 무선 통신서비스",59,통신서비스,22,정보통신 및 방송 
